"","ID","EARNINGS","S","EXP","BYEAR","AGE","AGEMBTH","HHINC97","POVRAT97","PRMONM","PRMONF","ASVABAR","ASVABWK","ASVABPC","ASVABMK","ASVABNO","ASVABCS","ASVABC","ASVABC4","VERBAL","ASVABMV","HEIGHT","WEIGHT04","WEIGHT11","SF","SM","SFR","SMR","SIBLINGS","JOBS","HOURS","TENURE","CATSE","COLLBARG","SEX","ETHNICITY","EDUCATION","MARITALSTAT","FAITH","METSTAT97","AREA97","CENREG97","HOUSE97","MATSTYLE","PATSTYLE","CATEMP","METSTAT11","CENREG11","AREA11"
"1272",6244,16.83,19,5.346154,1981,30,25,82500,441,NA,NA,0.8184134,-0.1653244,-0.0515621,1.048739,1.060159,1.255204,0.3897343,0.4611664,-0.1160526,63866,66,140,131,16,16,16,16,2,4,40,5.211538,"No","No","Female","Non-black, non-hispanic","Master's degree","Married, spouse present","Protestant","MSA, not central city","Urban","West","Biological mother and father",NA,NA,"Government","MSA, not central city","South","Rural"
"521",543,8,14,5.75,1983,28,40,43000,340,9,NA,0.7659108,-0.189188,-0.6445142,0.8819247,0.5853622,0.7358692,0.1913882,0.2271909,-0.4449863,61988,74,208,215,6,8,NA,8,6,2,20,7.269231,"Yes","No","Male","Hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Urban","West","Biological mother only","Uninvolved",NA,"Private sector","MSA, not central city","South","Urban"
"352",151,9.17,12,10.46154,1982,29,18,NA,NA,NA,NA,-0.8328478,-0.3110377,-0.9009535,-0.8153861,-0.2551482,0.1600448,-0.7911927,-0.8010082,-0.6467192,19749,66,190,180,11,11,NA,NA,3,NA,12,0.3461539,"No","No","Female","Black","High school diploma","Single, never married","Protestant","MSA, central city","Urban","North east","Other",NA,NA,"Private sector","MSA, not central city","North east","Urban"
"355",5914,8,12,7.038462,1981,30,18,26000,163,NA,NA,-1.276512,-2.399791,-1.866445,-1.819977,-1.147176,-0.2860765,-1.874281,-2.060947,-2.275478,3283,66,130,215,11,12,11,12,1,3,40,0.5576923,"No","No","Female","Black","High school diploma","Single, never married","None","MSA, not central city","Rural","South","Biological mother and father",NA,NA,"Missing value","MSA, not central city","West","Rural"
"483",4019,15,15,1,1984,27,17,42000,264,11,9,0.1986069,-0.1301155,1.087222,0.379146,0.910938,1.122045,0.3717029,0.4288723,0.510011,62473,64,200,235,12,11,12,11,1,3,40,3.192308,"No","No","Female","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","MSA, central city","Urban","South","Biological mother and father","Authoritative","Permissive","Private sector","MSA, not central city","West","Urban"
"866",901,23.08,17,5.769231,1984,27,25,70000,374,13,11,0.5619689,-0.171094,1.190644,0.3579434,-0.1649506,0.7212188,0.5885549,0.5420926,0.5433106,60434,68,140,135,14,14,14,14,2,7,50,6.346154,"No","Yes","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Catholic","MSA, not central city","Urban","West","Biological mother and father","Permissive","Permissive","Private sector","MSA, central city","South","Urban"
"1494",3391,18.99,17,4.269231,1984,27,32,NA,NA,14,9,0.8017239,0.8283263,0.220927,0.7279292,1.647211,1.160071,0.7284795,0.7210289,0.5591506,78004,69,105,105,12,14,12,14,1,4,40,4.269231,"No","Yes","Female","Non-black, non-hispanic","Master's degree","Single, never married","Protestant","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Authoritative","Government","MSA, not central city","West","Urban"
"316",2691,2.65,17,2,1982,29,19,10900,68,NA,4,-0.5376828,-0.3144526,-0.9932545,-0.6362239,-0.0848459,0.3205623,-0.6552798,-0.6950611,-0.6977623,22588,64,140,145,14,12,14,NA,3,3,24,3.365385,"No","No","Female","Non-black, non-hispanic","Associate's degree","Cohabiting","None","MSA, not central city","Rural","North central","Biological father only",NA,"Uninvolved","Private sector","MSA, not central city","North central","Urban"
"1201",4551,17.51,12,8.653846,1984,27,26,49000,209,14,6,-0.397051,-0.2621574,-0.8110653,-0.7859383,0.5080156,-0.4158065,-0.5135595,-0.6319867,-0.5727171,17694,74,178,222,14,14,14,14,2,4,40,1.269231,"No","Yes","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, central city","Urban","West","Other mother, biological father","Permissive","Permissive","Private sector","MSA, not central city","South","Urban"
"949",6568,2.5,12,6.634615,1982,29,22,22400,177,5,NA,0.3435499,-0.2268041,-0.3582679,-0.2291335,-1.163042,-0.0372515,0.0275906,-0.1323328,-0.3123975,41084,66,125,130,13,15,NA,15,3,NA,36,0.6923077,"Yes","No","Female","Non-black, non-hispanic","High school diploma","Other single","Catholic","MSA, central city","Urban","West","Biological mother only","Uninvolved",NA,"Private sector","MSA, not central city","South","Urban"
"571",6276,11.4,11,8.692307,1981,30,35,32250,255,NA,NA,-0.9834784,-1.080511,-0.3518185,-1.233724,0.2762412,-1.142586,-0.9345209,-1.021881,-0.7642206,17877,70,220,240,14,14,NA,14,2,10,40,4.923077,"No","No","Male","Non-black, non-hispanic","High school drop-out","Married, spouse present","Protestant","MSA, central city","Urban","West","Biological mother only",NA,NA,"Private sector","MSA, central city","South","Urban"
"945",5562,14.71,16,2.884615,1983,28,NA,37500,297,13,13,0.8959113,1.220017,1.237092,0.891466,-0.4699186,1.412225,1.167101,1.18711,1.309928,90951,64,115,124,20,16,20,NA,1,8,40,4.25,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","Not in MSA","Rural","South","Biological father only","Permissive","Permissive","Private sector","MSA, not central city","West","Urban"
"14",3016,17.46,16,4.730769,1984,27,32,NA,NA,12,8,0.6983628,0.8909323,1.374134,-0.1933249,0.8146586,-0.1689523,1.005763,0.7745319,1.207516,84611,71,160,165,14,16,16,16,2,2,40,5.307693,"No","Yes","Male","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Catholic","MSA, not central city","Rural","North central","Biological mother, other father","Authoritative","Permissive","Government","MSA, not central city","North central","Urban"
"204",6383,19.5,18,2.288461,1984,27,28,75500,403,11,10,1.071315,0.8693048,0.9092926,-0.2887367,0.5700036,0.5878178,1.077053,0.7160673,0.9480931,82402,71,180,200,13,16,13,16,2,7,40,3.942308,"No","No","Male","Non-black, non-hispanic","Master's degree","Cohabiting","Catholic","Not in MSA","Rural","West","Biological mother and father","Authoritative","Authoritative","Government","MSA, not central city","South","Urban"
"1203",4205,15,14,6.192307,1984,27,26,48400,303,9,NA,0.2156562,-0.7869099,0.6524065,0.1109328,0.5798953,0.2094328,0.0811137,0.0531226,-0.0721197,57236,67,180,210,16,16,NA,16,2,10,40,0.2884615,"No","No","Male","Non-black, non-hispanic","Associate's degree","Married, spouse present","Protestant","MSA, not central city","Urban","South","Biological mother only","Permissive",NA,"Private sector","MSA, not central city","West","Urban"
"557",2225,10,12,7.596154,1983,28,28,48560,305,8,8,-0.1941747,0.387926,0.8556557,-0.3647897,-1.096394,-0.6913344,0.2345606,0.1909482,0.6627815,57518,73,135,145,10,12,10,12,2,8,50,1.75,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Catholic","MSA, central city","Urban","North east","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","West","Rural"
"671",2211,21.5,15,3.884615,1984,27,31,NA,NA,6,NA,0.6546742,0.1965743,1.440858,0.9781202,0.0978392,0.5180005,0.8092883,0.9144815,0.8728128,82887,70,140,213,18,17,NA,17,2,3,40,4.192307,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, not central city","Urban","North east","Biological mother only","Authoritative",NA,"Private sector","MSA, not central city","North east","Rural"
"454",292,12.75,15,6.596154,1984,27,24,29400,157,14,6,-0.4993464,-0.0652329,-0.0670967,0.5307448,0.8200991,0.3316131,-0.3112341,-0.0288725,-0.0709604,56630,68,215,250,12,14,12,14,1,4,10,5.096154,"No","No","Female","Black","High school diploma","Cohabiting","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Authoritative","Authoritarian","Private sector","MSA, central city","North east","Urban"
"474",6437,9.27,17,3.730769,1984,27,30,34000,214,6,NA,0.5555754,1.546588,1.842312,-0.0258241,0.0820125,1.160071,1.236105,1.095931,1.806831,79962,67,170,152,14,13,NA,13,2,6,35,4.096154,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Catholic","Not in MSA","Urban","West","Biological mother only","Authoritarian",NA,"Non-profit","MSA, central city","South","Urban"
"1487",5951,18.27,18,9.615385,1980,31,34,71000,562,NA,NA,0.2997189,1.067477,1.020755,0.8432189,0.7679335,1.807316,0.7380884,0.9035524,1.113214,81669,64,195,204,11,14,11,14,1,9,40,1.096154,"No","No","Female","Black","Master's degree","Single, never married","Protestant","MSA, central city","Urban","South","Biological mother and father","Authoritative","Authoritarian","Non-profit","MSA, central city","West","Rural"
"117",8788,23.72,15,9.865385,1981,30,17,45800,218,NA,NA,0.5541502,-0.9291182,-0.8044272,-0.3336726,-0.3215479,-0.5494499,-0.1722536,-0.424032,-0.9248521,35592,72,228,250,14,11,14,18,1,5,48,7.980769,"No","No","Male","Non-black, non-hispanic","Associate's degree","Married, spouse present","Protestant","MSA, not central city","Rural","South","Other mother, biological father",NA,NA,"Government","MSA, not central city","West","Rural"
"1619",404,21.42,18,9.019231,1980,31,19,67200,222,NA,NA,0.2858664,-0.4430364,-0.1591412,0.4891351,-0.0626406,0.145414,-0.0088109,0.0477326,-0.3215196,46187,71,155,190,14,14,14,14,7,3,44,2.865385,"No","No","Male","Non-black, non-hispanic","Master's degree","Married, spouse present","Other","MSA, not central city","Urban","West","Biological mother and father","Permissive","Permissive","Private sector","Not in MSA","South","Rural"
"1385",6280,12.34,12,9.653846,1980,31,26,30400,185,NA,NA,-1.099385,-0.3223775,-1.077703,-2.710341,-1.611683,-0.8501065,-0.9893581,-1.458494,-0.747023,8115,63,150,155,16,18,16,18,1,17,40,1.038462,"No","No","Female","Non-black, non-hispanic","High school diploma","Other single","Protestant","MSA, central city","Urban","West","Biological mother and father","Permissive","Authoritarian","Government","MSA, central city","South","Urban"
"299",3911,21.1,16,8.673077,1982,29,32,50600,264,14,11,0.4980587,0.7828608,0.3745801,1.199923,0.3085146,-0.1429126,0.5913221,0.7984067,0.6168447,78206,67,160,175,11,12,11,12,4,6,24,1.903846,"No","No","Female","Non-black, non-hispanic","Associate's degree","Married, spouse present","Protestant","Not in MSA","Urban","South","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","West","Rural"
"701",5329,3.74,17,4.769231,1982,29,30,NA,NA,12,NA,-0.0922714,-1.105565,-1.413613,-0.8037247,0.0867753,-2.391405,-0.7433895,-0.9563003,-1.343812,18182,72,245,250,14,13,NA,13,3,7,30,6.480769,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Protestant","Not in MSA","Rural","North central","Biological mother only","Permissive",NA,"Private sector","MSA, not central city","North central","Urban"
"1654",6393,11,14,8.538462,1980,31,23,133750,1627,NA,NA,0.0247999,0.4038528,0.5114314,-0.0515319,-0.9606432,-1.110675,0.2646913,0.2480155,0.487708,55389,67,145,175,16,9,16,9,2,15,32,0.25,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","Not in MSA","Urban","West","Biological mother and father","Permissive","Authoritarian","Private sector","MSA, not central city","South","Rural"
"1495",8785,7.43,11,7.826923,1983,28,22,NA,NA,6,3,-2.192133,-2.002487,-0.419878,-2.052519,-0.5642197,-1.728932,-1.870811,-1.866266,-1.292184,6939,64,130,136,11,12,11,12,1,5,35,2.865385,"No","No","Female","Black","High school drop-out","Single, never married","Protestant","MSA, not central city","Urban","South","Biological mother and father","Uninvolved","Permissive","Missing value","MSA, not central city","West","Urban"
"954",8916,14.25,12,8.692307,1983,28,22,18800,73,9,3,-1.005079,-1.129417,-0.5455408,-0.4750433,0.0909414,-0.3908705,-1.013063,-0.8835179,-0.8936087,18989,63,179,244,9,12,9,12,5,4,35,2.519231,"No","No","Female","Black","High school diploma","Married, spouse present","Protestant","MSA, not central city","Urban","South","Biological mother and father","Authoritarian","Authoritarian","Private sector","MSA, not central city","West","Urban"
"597",5744,25.16,14,8.75,1983,28,37,36000,226,9,8,0.6327136,0.1238423,-0.1185095,0.2267636,0.6532853,0.8237642,0.3487417,0.2413717,0.0024518,62984,71,150,170,12,12,12,12,3,3,40,5.019231,"No","No","Male","Non-black, non-hispanic","Associate's degree","Married, spouse present","Catholic","MSA, not central city","Rural","South","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","West","Urban"
"468",4023,11.89,16,5.807693,1982,29,26,64047,284,7,7,0.1325655,0.5711385,1.081851,-0.184608,0.5642154,-0.6095044,0.5266271,0.4473656,0.8811092,71064,64,120,124,14,14,14,12,2,8,45,0.7115384,"No","No","Female","Non-black, non-hispanic","Associate's degree","Single, never married","Protestant","MSA, central city","Urban","South","Other mother, biological father","Uninvolved","Uninvolved","Private sector","MSA, not central city","West","Urban"
"1820",3254,14.81,11,14.73077,1980,31,24,246474,1627,NA,NA,-0.9864334,-0.9416083,-0.962049,-0.1607254,0.1281046,0.9492485,-1.065659,-0.8543414,-1.015569,16615,67,107,115,13,12,12,12,1,8,50,10.21154,"No","No","Female","Non-black, non-hispanic","GED","Married, spouse present","Protestant","MSA, central city","Urban","North central","Biological mother, other father","Permissive","Permissive","Private sector","MSA, not central city","North central","Rural"
"904",8810,22.11,15,4.615385,1980,31,22,NA,NA,NA,NA,0.286932,0.3719806,0.412458,1.112492,0.9273549,1.551111,0.3727971,0.6104834,0.4179311,63728,66,140,208,14,14,14,14,2,7,40,2.192308,"No","No","Female","Hispanic","Associate's degree","Married, spouse present","Missing value","MSA, not central city","Urban","West","Biological mother and father","Permissive","Authoritative","Private sector","MSA, central city","South","Urban"
"1164",5950,16.16,17,4.711538,1983,28,23,40000,251,12,12,-0.1952403,0.7658389,1.360531,-0.0244875,0.5538735,0.4326001,0.4765527,0.5329086,1.133552,62671,70,260,333,12,12,12,12,3,3,40,6.230769,"No","No","Male","Black","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother and father","Permissive","Permissive","Non-profit","MSA, not central city","West","Rural"
"1041",6504,26.42,12,7.923077,1983,28,26,65838,343,16,16,-0.3742573,0.3754048,0.1183594,-0.4506603,0.7184057,0.7770116,-0.0704469,-0.0932958,0.2629211,43416,67,135,156,12,12,12,12,2,5,40,1.211538,"No","Yes","Male","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","Not in MSA","Urban","West","Biological mother and father","Permissive","Permissive","Private sector","MSA, central city","South","Urban"
"984",4667,9.8,10,4.942307,1984,27,20,NA,NA,NA,NA,-0.1807387,-0.1301155,-0.1916475,-0.6820454,-0.1771504,-0.4254687,-0.1881899,-0.3321017,-0.1719809,41851,62,140,140,13,11,NA,11,4,5,20,2.653846,"No","No","Female","Non-black, non-hispanic","GED","Cohabiting","Protestant","MSA, central city","Urban","West","Biological mother only",NA,NA,"Private sector","MSA, not central city","South","Urban"
"167",2833,11.3,16,1.384615,1983,28,30,87020,453,12,12,1.134601,1.355474,0.9868788,0.52042,-0.3853445,-0.5417258,1.266744,1.11796,1.248731,87070,71,212,230,12,16,12,16,2,3,40,7.153846,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Catholic","MSA, central city","Urban","North central","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","North central","Urban"
"1407",5198,13.46,16,4.5,1984,27,28,40000,251,8,5,0.7942649,1.108346,1.905699,0.6261566,-0.1400564,0.1043951,1.264277,1.240272,1.606929,94139,59,105,115,18,16,18,16,1,3,40,4.288462,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Permissive","Uninvolved","Government","MSA, central city","West","Urban"
"217",3008,15.94,13,9.653846,1983,28,24,63750,505,15,15,-0.9464725,-0.6627175,-1.245027,-0.6881297,-0.4763483,0.092864,-1.044821,-0.9918869,-1.017748,12070,68,140,130,12,12,12,12,0,6,40,0.7692308,"No","Yes","Male","Hispanic","High school diploma","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Permissive","Permissive","Government","MSA, not central city","North central","Rural"
"137",3556,9.1,17,5.403846,1983,28,NA,66500,355,7,NA,1.460667,1.059518,1.202619,1.949477,1.500346,2.389356,1.423899,1.586651,1.205954,93668,70,160,165,12,12,NA,17,4,NA,40,1.365385,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, central city","Urban","South","Other","Permissive",NA,"Private sector","MSA, central city","West","Urban"
"1100",2738,20.43,18,2.423077,1982,29,27,60500,323,12,NA,0.6621577,1.099306,0.7304395,0.291391,-0.3606597,0.4399375,0.866246,0.7782229,0.9753693,77092,75,160,200,12,13,12,13,2,4,40,0.2692308,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Rural","North central","Biological mother and father","Permissive",NA,"Government","MSA, not central city","North central","Urban"
"1462",3415,17.3,13,7.711538,1984,27,24,68750,328,12,4,0.9945934,1.350802,1.626572,0.9897817,1.766406,0.916645,1.364295,1.387822,1.587373,92137,64,145,172,13,14,13,14,3,1,28,7.365385,"No","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, not central city","Rural","South","Biological mother and father","Authoritarian","Authoritarian","Private sector","MSA, central city","West","Urban"
"1976",4104,12,16,2.884615,1983,28,29,NA,NA,4,0,-0.1909779,-0.2176453,-0.0273205,-0.4602015,0.7841856,1.258564,-0.1727144,-0.251398,-0.1310267,33198,65,191,215,16,16,16,16,3,10,40,0.8461539,"No","No","Female","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","MSA, central city","Urban","South","Biological mother and father","Uninvolved","Authoritarian","Government","MSA, not central city","West","Urban"
"253",3608,2.13,11,10.96154,1981,30,27,19500,106,NA,NA,-0.4400338,-0.0594632,0.3232024,-1.342918,-0.0869495,-0.8511606,-0.1698035,-0.4257514,0.140254,36585,68,150,148,12,17,NA,17,3,9,35,0.2884615,"No","No","Female","Non-black, non-hispanic","GED","Cohabiting","Protestant","MSA, not central city","Urban","South","Biological mother only",NA,NA,"Private sector","MSA, central city","West","Urban"
"1049",2775,12,15,5.942307,1982,29,31,78700,375,NA,NA,0.5715836,1.45673,1.047377,0.5691453,0.3085146,0.6066887,1.001774,1.019309,1.334991,85580,73,175,185,14,14,14,14,5,3,40,5.884615,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Catholic","MSA, not central city","Rural","North central","Biological mother and father",NA,NA,"Private sector","MSA, central city","South","Urban"
"276",1187,24.04,16,7.403846,1983,28,26,81300,376,12,10,1.178289,0.6474565,0.1561695,1.011261,1.580139,0.7477132,0.8679343,0.8369543,0.4281633,78417,68,134,150,12,12,12,12,3,2,40,7.019231,"No","No","Female","Hispanic","Bachelor's degree","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","North east","Urban"
"577",4168,10.26,14,4.826923,1982,29,23,25000,198,5,NA,-0.6889948,-0.9484811,-1.260149,-0.5439925,0.2575722,-0.6970878,-0.9859974,-0.9636998,-1.178204,18531,74,245,230,12,12,NA,12,5,6,45,4.865385,"No","No","Male","Black","High school diploma","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother only","Authoritarian",NA,"Private sector","MSA, central city","West","Urban"
"1085",4702,91.67,20,2.923077,1984,27,23,37300,199,12,12,0.9615605,0.1624255,1.349669,1.05445,1.141745,1.149162,0.9435033,0.9866437,0.8059731,85854,69,155,170,10,14,10,14,3,3,40,0.3076923,"No","No","Male","Hispanic","Bachelor's degree","Cohabiting","Protestant","MSA, central city","Urban","West","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","South","Urban"
"406",1029,2.83,8,11.01923,1982,29,38,46000,364,NA,NA,0.3009268,0.6826911,0.2211157,0.1779569,-0.4101183,1.36003,0.413289,0.3862907,0.4815874,59518,66,190,140,11,10,11,NA,6,2,37,8.096154,"No","No","Female","Non-black, non-hispanic","High school diploma","Cohabiting","Catholic","MSA, central city","Urban","North east","Biological father only",NA,NA,"Private sector","MSA, central city","North east","Urban"
"1177",4252,16,14,7.615385,1984,27,26,6876,43,13,11,0.0398359,-0.0572648,-1.565042,-0.7668559,-1.318159,-0.6695177,-0.4243395,-0.6580432,-0.8655313,28048,71,230,250,12,12,12,12,2,3,40,0.6153846,"No","No","Male","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","MSA, not central city","Rural","South","Biological mother and father","Permissive","Authoritarian","Private sector","MSA, not central city","West","Urban"
"1778",6262,15.12,17,4.653846,1984,27,33,42500,267,10,7,-0.1956568,-0.8711435,-0.182751,0.354763,0.374972,0.5550909,-0.3975679,-0.2510183,-0.5624099,43373,66,135,140,16,16,16,16,1,5,40,0.3076923,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","West","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","South","Urban"
"921",2782,9.89,14,9.942307,1980,31,33,54750,434,NA,NA,1.119148,2.385619,1.879266,0.3650997,-0.012028,0.6843166,1.786537,1.608156,2.273973,87405,60,125,159,14,12,14,12,1,7,40,2.576923,"No","No","Female","Non-black, non-hispanic","Associate's degree","Cohabiting","Other","MSA, not central city","Urban","North central","Biological mother and father","Authoritative","Authoritative","Non-profit","MSA, not central city","North central","Urban"
"668",1778,15,14,5,1983,28,26,43500,207,9,8,0.3460732,-0.3792827,-0.3564905,1.026103,-2.58147,-0.6716983,-0.0124332,0.1774563,-0.392763,49034,75,170,170,12,13,12,13,4,2,40,0.4615385,"No","No","Male","Non-black, non-hispanic","Associate's degree","Married, spouse present","Missing value","MSA, not central city","Urban","North central","Biological mother and father","Uninvolved","Uninvolved","Private sector","MSA, not central city","North central","Urban"
"989",3973,19.05,18,5.769231,1982,29,17,35200,221,14,13,-1.128013,-2.20857,-2.12422,-1.766324,-1.556733,0.0627992,-1.810958,-2.023002,-2.31097,2995,64,220,205,12,12,12,12,1,4,40,9.153846,"No","No","Female","Black","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother, other father","Authoritarian","Authoritative","Private sector","MSA, central city","West","Urban"
"684",5134,10.47,13,4.038462,1984,27,39,37000,193,7,3,-2.122221,-1.8865,-1.381552,-0.832584,-0.5250089,-0.8487363,-2.064772,-1.741977,-1.743169,6386,74,260,250,16,14,16,14,4,8,12,0.5,"No","No","Male","Non-black, non-hispanic","GED","Single, never married","Protestant","Not in MSA","Urban","North central","Biological mother and father","Uninvolved","Uninvolved","Private sector","MSA, not central city","North central","Urban"
"623",3938,13.37,17,5.25,1982,29,30,NA,NA,4,3,0.6824036,0.2455871,0.7738099,0.8119154,0.3068659,0.9330224,0.6547003,0.7027866,0.543229,72386,67,138,130,14,16,14,16,3,2,24,9.288462,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Missing value","MSA, central city","Urban","South","Biological mother and father","Authoritarian","Authoritarian","Private sector","MSA, central city","West","Urban"
